Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.0018303,-0.0022636,-0.024028,0,0,0,8.7385,0.032841,2.8455E-08,5.1148E-07,0.030732,-1.2737E-05,0.061662,0,0,0,0,0,0,package://ASTRo/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASTRo/meshes/base.STL,,base_assembly-1,Origin_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_hip,0.0531583210571163,0.0366039141275337,-0.0363361635572401,0,0,0,2.17455286863019,0.00173280345342209,-6.19129847878754E-05,-1.21639437951916E-05,0.00206600212782451,6.94104691488328E-07,0.00205370170154333,0,0,0,0,0,0,package://ASTRo/meshes/fl_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/fl_hip.STL,,shoulder_left-1,Origin_fl_hip,Axis_fl_hip_yaw,fl_hip_yaw,revolute,0.15121,0.15121,0,0,0,0,base,0,0,1,40,1000,-0.7854,1.5708,,,,,,,,
fl_thigh,0.027738,-2.8924E-05,-0.048016,0,0,0,1.4824,0.00087947,6.7403E-09,1.0751E-05,0.0011475,3.8014E-08,0.0017228,0,0,0,0,0,0,package://ASTRo/meshes/fl_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASTRo/meshes/fl_thigh.STL,,leg_upper-1,Origin_fl_thigh,Axis_fl_hip_pitch,fl_hip_pitch,revolute,0.13,0.0755,-0.03875,-1.5708,0,0,fl_hip,0,0,1,40,1000,-1.5708,1.5708,,,,,,,,
fl_calf,0.31676,0.00044079,-0.07745,0,0,0,0.31062,4.0837E-05,7.7987E-07,1.6622E-10,0.0002133,2.688E-10,0.00022729,0,0,0,0,0,0,package://ASTRo/meshes/fl_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASTRo/meshes/fl_calf.STL,,leg_lower-2,Origin_fl_thigh,Axis_fl_knee_pitch,fl_knee_pitch,revolute,0,0,0,0,0,0,fl_thigh,0,0,1,40,1000,-0.1,2.3562,,,,,,,,
fr_hip,0.0531763939958359,-0.03641981103807,-0.0363952498647838,0,0,0,2.18233968386848,0.00173291318723781,6.12775165299127E-05,-1.21635823008675E-05,0.00206624802392487,6.94100265309046E-07,0.00205394759437429,0,0,0,0,0,0,package://ASTRo/meshes/fr_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/fr_hip.STL,,shoulder_right-1,Origin_fr_hip,Axis_fr_hip_yaw,fr_hip_yaw,revolute,0.15121,-0.15121,0,0,0,0,base,0,0,1,40,1000,-1.5708,0.7854,,,,,,,,
fr_thigh,0.0277372167220385,-0.000149652238160158,-0.0480163340760356,0,0,0,1.48239438165952,0.000879475845940312,1.17351324544697E-06,1.07507726515436E-05,0.00114753637734785,-8.77874938440614E-09,0.00172276896297423,0,0,0,0,0,0,package://ASTRo/meshes/fr_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/fr_thigh.STL,,leg_upper-2,Origin_fr_thigh,Axis_fr_hip_pitch,fr_hip_pitch,revolute,0.13,-0.0755,-0.03875,1.5708,0,0,fr_hip,0,0,1,40,1000,-1.5708,1.5708,,,,,,,,
fr_calf,0.0948140635086356,-0.000614776009034035,-0.0165503017818016,0,0,0,0.310621805212083,4.08365237189535E-05,-7.79868537659727E-07,-1.65503809227098E-10,0.00021330337430835,2.68862310727803E-10,0.000227294886976432,0,0,0,0,0,0,package://ASTRo/meshes/fr_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/fr_calf.STL,,leg_lower-1,Origin_fr_calf,Axis_fr_knee_pitch,fr_knee_pitch,revolute,0.22194,-0.00114,-0.061,0,0,-0.0043525,fr_thigh,0,0,1,40,1000,-2.3562,0.1,,,,,,,,
rl_hip,0.0531763939958355,-0.0364198110380691,-0.036395249864784,0,0,0,2.18233968386848,0.00173291318723781,6.12775165299124E-05,-1.21635823008672E-05,0.00206624802392487,6.94100265308955E-07,0.00205394759437429,0,0,0,0,0,0,package://ASTRo/meshes/rl_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/rl_hip.STL,,shoulder_right-2,Origin_rl_hip,Axis_rl_hip_yaw,rl_hip_yaw,revolute,-0.15121,0.15121,0,0,0,3.1416,base,0,0,1,40,1000,-1.5708,0.7854,,,,,,,,
rl_thigh,0.0277376055025215,-2.89239417923803E-05,-0.0480163343184047,0,0,0,1.48239439114501,0.000879470709552469,6.74033378943963E-09,1.07507095507878E-05,0.00114754151657931,3.80142785229693E-08,0.00172276896468826,0,0,0,0,0,0,package://ASTRo/meshes/rl_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/rl_thigh.STL,,leg_upper-3,Origin_rl_thigh,Axis_rl_hip_pitch,rl_hip_pitch,revolute,0.13,-0.0755,-0.03875,1.5708,0,0,rl_hip,0,0,1,40,1000,-1.5708,1.5708,,,,,,,,
rl_calf,0.0948140624508792,0.000614775850863336,-0.0164496981749044,0,0,0,0.310621800156452,4.08365242898525E-05,7.79868437361702E-07,1.66215196374788E-10,0.000213303367897618,2.68800644674563E-10,0.000227294880780061,0,0,0,0,0,0,package://ASTRo/meshes/rl_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/rl_calf.STL,,leg_lower-3,Origin_rl_calf,Axis_rl_knee_pitch,rl_knee_pitch,revolute,0.22194,-0.00017398,-0.061,0,0,0,rl_thigh,0,0,1,40,1000,-2.3562,0.1,,,,,,,,
rr_hip,0.0531583210571163,0.0366039141275338,-0.0363361635572398,0,0,0,2.17455286863019,0.00173280345342208,-6.19129847878762E-05,-1.2163943795192E-05,0.00206600212782451,6.9410469148802E-07,0.00205370170154332,0,0,0,0,0,0,package://ASTRo/meshes/rr_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/rr_hip.STL,,shoulder_left-2,Origin_rr_hip,Axis_rr_hip_yaw,rr_hip_yaw,revolute,-0.15121,-0.15121,0,0,0,3.1416,base,0,0,1,40,1000,-0.7854,1.5708,,,,,,,,
rr_thigh,0.0277376055953963,-2.89239103958838E-05,-0.0480163341374775,0,0,0,1.48239438395037,0.000879470708893672,6.74027458555017E-09,1.07507093818394E-05,0.00114754151588376,3.80143535091579E-08,0.00172276896466383,0,0,0,0,0,0,package://ASTRo/meshes/rr_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/rr_thigh.STL,,leg_upper-4,Origin_rr_thigh,Axis_rr_hip_pitch,rr_hip_pitch,revolute,0.13,0.0755,-0.03875,-1.5708,0,0,rr_hip,0,0,1,40,1000,-1.5708,1.5708,,,,,,,,
rr_calf,0.0948140623926746,0.000614775847208981,-0.0164496981767596,0,0,0,0.310621799877947,4.08365242945811E-05,7.79868417963329E-07,1.66211905736855E-10,0.000213303367890616,2.68796940480024E-10,0.00022729488077842,0,0,0,0,0,0,package://ASTRo/meshes/rr_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASTRo/meshes/rr_calf.STL,,leg_lower-4,Origin_rr_calf,Axis_rr_knee_pitch,rr_knee_pitch,revolute,0.22194,-0.00017398,-0.061,0,0,0,rr_thigh,0,0,1,40,1000,-0.1,2.3562,,,,,,,,
